file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0323_0097_755452_to_758267,ད་ང་ཡང་ཏོག་ཙི་འོག་ཙམ་ལ་བསྡད་མྱི་འདྲ་བོ་ཅིག་རེད་ཡོད་བ།  ,da nga yang tog tsi 'og tsam la bsdad myi 'dra bo cig red yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0323_0097_755452_to_758267.wav,STT_NS,3,55,2.815,wav16k/STT_NS_M0323_0097_755452_to_758267.wav,ད་ང་ཡང་ཏོག་ཙི་འོག་སི་ལ་བསྡད་མྱི་འདྲ་བོ་ཅིག་རེད་ཡོད་བ།
STT_NS_M0323_0472_3157216_to_3159701,ཝི་ཅིང་འདྲ་བོ་དང་ཨེ་ནས་སི་པན་འདྲ་བོ་ང་ཚོ་ལ།  ,wi cing 'dra bo dang e nas si pan 'dra bo nga tsho la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0323_0472_3157216_to_3159701.wav,STT_NS,3,45,2.485,wav16k/STT_NS_M0323_0472_3157216_to_3159701.wav,ཝི་ཇིན་འདྲ་བོ་དང་ཨེ་ནས་སི་པན་འདྲ་བོ་ང་ཚོ་ལ།
STT_TT00641_0143_1406186_to_1408682,དམྱལ་བའི་མེ་ད་ང་རང་ཚོ་འཛམ་བུ་གླིང་གི་མེ་ཟེར་དུས་སྒང་ལ་ང་ཚོ།  ,dmyal ba'i me da nga rang tsho 'dzam bu gling gi me zer dus sgang la nga tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00641_0143_1406186_to_1408682.wav,STT_TT,3,61,2.496,wav16k/STT_TT00641_0143_1406186_to_1408682.wav,དམྱལ་བའི་མེ་དང་ང་རང་ཚོ་འཛམ་བུ་གླིང་པའི་མེ་ཟེར་དུས་སྒང་ལ། ང་ཚོ།
STT_NS_M0314_0059_332909_to_335725,ཨོང་མཐོ་སློབ་ལ་སླེབས་དུས་ཙམ་པ་ལ་ཨེ་ནས་ད།  ,ong mtho slob la slebs dus tsam pa la e nas da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0314_0059_332909_to_335725.wav,STT_NS,3,42,2.816,wav16k/STT_NS_M0314_0059_332909_to_335725.wav,ཨོ་མཐོ་སློབ་ལ་སླེབས་དུས་ཙམ་པ་ལ་ཨེ་ནས་ད།
STT_NS_M0318_0134_980563_to_985678,སོ་སོ་གི་སེམས་ཅན་དངོས་སུ་ད་སོ་སོ་གིས་ད་བསད་མེད་བ་ཡིན་ན་ཡང་ལབ་ཡིན།  ,so so gi sems can dngos su da so so gis da bsad med ba yin na yang lab yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0318_0134_980563_to_985678.wav,STT_NS,3,67,5.115,wav16k/STT_NS_M0318_0134_980563_to_985678.wav,ལབ་ན་སོ་སོ་གི་སེམས་ཅན་དངོས་སུ་ད་སོ་སོ་གི་ད་བསད་མེད་བ་ཡིན་ན་ཡང་ལབ་ཡིན།
STT_TT00640_0147_1799974_to_1807192,གཅིག་པུ་ཉི་མ་ལྟ་བུ་མི་ཨེ། གཅིག་པུ་ཉི་མ་ག་རེ་ཟ། གཅིག་པུ་ཉི་མ་ཟླ་བས་མི་བརྫི་བའི། མུན་ནག་མཐའ་ཡས་ནང་དུ་འཇུག་འཚལ་ལོ་ཟེ།  ,gcig pu nyi ma lta bu mi e/_gcig pu nyi ma ga re za/_gcig pu nyi ma zla bas mi brdzi ba'i/_mun nag mtha' yas nang du 'jug 'tshal lo ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00640_0147_1799974_to_1807192.wav,STT_TT,3,116,7.218,wav16k/STT_TT00640_0147_1799974_to_1807192.wav,གཅིག་པུ་ཉི་མ་ལྟ་བུ།མི། ཨ། གཅིག་པུ་ཉི་མ་ ག་རེ་ཟ། གཅིག་པུ་ཉི་མ་ཟླ་བས་མི་བརྫེ་བས། མུན་ནག་མཐའ་ཡས་ནང་དུ་འཇུག་འཚལ་ལོ་ཟེ།
STT_TT00623_0212_1824616_to_1828353,གད་མོ་བགད་ཀི་འདུག་ག དེ་ངས་མཐོང་སོང་། པུ་གུ་དེ་གད་མོ་བགད་ནས། དགའ་སྣང་ཞེ་དྲག་བྱེད་ཀི་འདུག་ག ,gad mo bgad ki 'dug ga_de ngas mthong song /_pu gu de gad mo bgad nas/_dga' snang zhe drag byed ki 'dug ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00623_0212_1824616_to_1828353.wav,STT_TT,3,90,3.737,wav16k/STT_TT00623_0212_1824616_to_1828353.wav,གད་མོ་གད་ཀི་འདུག་ག དེ་ངས་མཐོང་སོང་། པུ་གུ་དེ་གད་མོ་གད་ནས། དགའ་སྣང་ཞེ་དྲག་བྱེད་ཀི་འདུག་ག
STT_TT00630_0195_2111427_to_2113891,ཞེ་བོ་ཅིག སོ་སོ་ཁང་པའི་ནང་ལ་ཞེ་བོ་ཅིག་ཡོད་བསྡད་ངེ་ཡིན་ན་ཡང་།  ,zhe bo cig_so so khang pa'i nang la zhe bo cig yod bsdad nge yin na yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00630_0195_2111427_to_2113891.wav,STT_TT,3,62,2.464,wav16k/STT_TT00630_0195_2111427_to_2113891.wav,ཞེ་བོ་ཅིག སོ་སོའི་ཁང་པའི་ནང་ལ་ ཞེ་བོ་ཅིག་ཡོད་བསྡད་ངེ་ཡིན་ན་ཡང་།
STT_TT00625_0022_234496_to_237448,ཨེ་ནས་སྐབས་དེ་ཨེ། རྒྱ་གར་གཞུང་གི་ད།  ,e nas skabs de e/_rgya gar gzhung gi da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00625_0022_234496_to_237448.wav,STT_TT,3,37,2.952,wav16k/STT_TT00625_0022_234496_to_237448.wav,ཨེ་ནས་ སྐབས་དེ། རྒྱ་གར་གཞུང་གི་ད།
STT_TT00634_0047_390178_to_392386,སྦྲུལ་སྡུག་པ་ཅན་ཟེར་དུས་ང་ཚོས་སྦྲུལ་མཐོང་ཡོང་དུས་སྒང་ལ།  ,sbrul sdug pa can zer dus nga tshos sbrul mthong yong dus sgang la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00634_0047_390178_to_392386.wav,STT_TT,3,57,2.208,wav16k/STT_TT00634_0047_390178_to_392386.wav,སྦྲུལ་གདུག་པ་ཅན་ཟེར་དུས། ང་ཚོས་སྦྲུལ་མཐོང་ཡོང་དུས་སྒང་ལ།
STT_TT00643_0130_1315902_to_1318206,ད་སངས་རྒྱས་ཡིན་ཟེ། མིང་བཏགས་དགོས་པའི་རྒྱུ་མཚན། ག་རེ་ཟེ་ན། ད་ལྟ་འདི།  ,da sangs rgyas yin ze/_ming btags dgos pa'i rgyu mtshan/_ga re ze na/_da lta 'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00643_0130_1315902_to_1318206.wav,STT_TT,3,69,2.304,wav16k/STT_TT00643_0130_1315902_to_1318206.wav,ད་སངས་རྒྱས་ཡིན་ཟེ། མིང་བཏགས་དགོས་པའི་རྒྱུ་མཚན་ག་རེ་ཟེར་ན། ད་ལྟ་དེ།
STT_TT00623_0524_4543131_to_4547738,ཨ། དགེ་རྒན་ད། འགན་བདག་གི་ཟོལ་འདྲ་བོ་བྱས་ད་ཡོང་བསྡད་ངེ་རེད། ད་ཁྱེད་རང་ཚོ་འགན་ཡོད་རེད་ད། ཤེས་སོང་ང་།  ,a/_dge rgan da/_'gan bdag gi zol 'dra bo byas da yong bsdad nge red/_da khyed rang tsho 'gan yod red da/_shes song nga /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00623_0524_4543131_to_4547738.wav,STT_TT,3,100,4.607,wav16k/STT_TT00623_0524_4543131_to_4547738.wav,དགེ་རྒན་དང་རྒན་བདག་གི་ཟོལ་འདྲ་བོ་བྱས། ད་ཡོང་བསྡད་ྱེ་རེད། ད་ཁྱེད་རང་ཚོ་འགན་ཡོད་རེད་ད། ཤེས་སོང་ང་།
STT_NS_M0333_0252_1679257_to_1681817,དངོས་གནས་ད་ད་ལྟ་སྤྱིན་ཟླ་བཅུ་གཅིག་ཟླ་བ་འདི་ང་ཚོ་ཨེ་འདྲའི།  ,dngos gnas da da lta spyin zla bcu gcig zla ba 'di nga tsho e 'dra'i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0333_0252_1679257_to_1681817.wav,STT_NS,3,59,2.56,wav16k/STT_NS_M0333_0252_1679257_to_1681817.wav,དངོས་གནས་ད་ད་ལྟ་སྤྱི་ཟླ་བཅུ་གཅིག་ཟླ་བ་འདི་ང་ཚོ་ཨེ་འདྲའི།
STT_TT00629_0120_713767_to_715847,གནོད་པ་རང་བཏང་བྱས་ནས། གནོད་ཡ་གཅིག་ཡོང་གི་ཡོད་རེད་བ།  ,gnod pa rang btang byas nas/_gnod ya gcig yong gi yod red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00629_0120_713767_to_715847.wav,STT_TT,3,53,2.08,wav16k/STT_TT00629_0120_713767_to_715847.wav,གནོད་པ་རང་བཏང་བྱས་ནས། གནོད་ཡ་ཅིག་ཡོང་གི་ཡོད་རེད། རེད་བ།
STT_TT00623_0676_5863165_to_5867465,ཅིག་རེད་ཟེར་ཡ་དེ། གཞུག་གུ་དེ་མ་རེད་ཟེར་དགོས་ཡ་ཅིག་བཟོ་ཐུབ་ན། བསྡུས་གྲྭ་སྦྱངས་པའི་རྟགས་རེད་ཟེ།  ,cig red zer ya de/_gzhug gu de ma red zer dgos ya cig bzo thub na/_bsdus grwa sbyangs pa'i rtags red ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00623_0676_5863165_to_5867465.wav,STT_TT,3,95,4.3,wav16k/STT_TT00623_0676_5863165_to_5867465.wav,ཅིག་རེད་ཟེར་ཡ་དེ། གཞུག་གུ་དེ་མ་རེད་ཟེར་དགོས་ཡ་ཅིག་བཟོ་ཐུབ་ན། བསྡུས་གྲྭ་སྦྱངས་པའི་རྟགས་རེད་ཟེ།
STT_TT00670_0260_2349890_to_2352194,ཚེ་དང་སྒྲུབ་པ་མཉམ་པ་བྱེད་མཁན། རྗེ་བཙུན་མི་ལ་ནང་བཞིན་ཆོས།  ,tshe dang sgrub pa mnyam pa byed mkhan/_rje btsun mi la nang bzhin chos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00670_0260_2349890_to_2352194.wav,STT_TT,3,58,2.304,wav16k/STT_TT00670_0260_2349890_to_2352194.wav,ཚེ་དང་སྒྲུབ་པ་མཉམ་པ་བྱེད་མཁན། རྗེ་བཙུན་མི་ལ་ནང་བཞིན་ཆོས།
STT_TT00634_0077_628274_to_631474,འདོད་པའི་བདེ་བ་ལ་ཡིད་འབྱུང་མཛོད་ཟེར་ཡ་དེ། བཤེས་སྤྲིངས་ནང་ལོགས་ལ།  ,'dod pa'i bde ba la yid 'byung mdzod zer ya de/_bshes springs nang logs la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00634_0077_628274_to_631474.wav,STT_TT,3,66,3.2,wav16k/STT_TT00634_0077_628274_to_631474.wav,འདོད་པའི་བདེ་བ་ལ་ཡིད་འབྱུང་མཛོད།་ཟེར་ཡ་དེ། བཤེས་སྤྲིངས་ནང་ལོགས་ལ།
STT_NS_M0320_0492_3323370_to_3326715,དབྱེ་བ་ཕྱེ་རྒྱོ་འདྲ་བོ་དང་ཨེ་འདྲའི་འདྲ་བོ་སྟོན་འདུག་བ། ཨེ་ནས་སེམས་ཅན་ལ་ཡང་ཁོ་ཚོ་གིས་ད།  ,dbye ba phye rgyo 'dra bo dang e 'dra'i 'dra bo ston 'dug ba/_e nas sems can la yang kho tsho gis da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0320_0492_3323370_to_3326715.wav,STT_NS,3,88,3.345,wav16k/STT_NS_M0320_0492_3323370_to_3326715.wav,དབྱེ་བ་ཕྱེ་རྒྱོ་འདྲ་བོ་དང་ཨེ་འདྲའི་འདྲ་བོ་སྟོན་འདུག་བ། ཨེ་ནས་སེམས་ཅན་ལ་ཡང་ཁོ་ཚོ་གིས་ད།
STT_NS_M0312_0294_2734718_to_2740998,ད་གཅིག་ག་ལབ་དགོས་རེད། ད་འདི་སྟོན་གི་ཡོད་རེད་ཡོད་བ། ད་ཞིང་པ་དེ་ཚོ་ག་ཚོད་དཀའ་ངལ་འཕྲད་ཀི་ཡོད་བ་དང་དེ་ཚོ་ཚང་མ་འདིའི་ནང་ལ་སྟོན་གི་འདུག་རཱ་ཡང་།  ,da gcig ga lab dgos red/_da 'di ston gi yod red yod ba/_da zhing pa de tsho ga tshod dka' ngal 'phrad ki yod ba dang de tsho tshang ma 'di'i nang la ston gi 'dug rA yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0312_0294_2734718_to_2740998.wav,STT_NS,3,139,6.28,wav16k/STT_NS_M0312_0294_2734718_to_2740998.wav,ད་གཅིག་ག་རེ་ལབ་དགོས་རེད། ད་འདི་སྟོན་གི་ཡོད་རེད་ཡོད་བ། ད་ཞིང་པ་དེ་ཚོ་ག་ཚོད་དཀའ་ངལ་འཕྲད་ཀི་ཡོད་བ་དང་དེ་ཚོ་ཚང་མ་འདིའི་ནང་སྟོན་གི་འདུག་རཱ་ཡ།
STT_NS_M0322_0048_332879_to_336989,འཛམ་གླིང་ལོགས་ཀ་ནང་ལོགས་ལ་ཡང་ཡོད་ཀི་རེད་ད་རཱ། ཡིན་ན་ཡང་ངས་མཐོང་ཚུལ་ལ་ད་ཇཱ་པེན་ལ་ཡ་ས་ཆ་འདི།  ,'dzam gling logs ka nang logs la yang yod ki red da rA/_yin na yang ngas mthong tshul la da jA pen la ya sa cha 'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0322_0048_332879_to_336989.wav,STT_NS,3,92,4.11,wav16k/STT_NS_M0322_0048_332879_to_336989.wav,འཛམ་གླིང་ལོགས་ཀ་ནང་ལོགས་ལ་ཡ་ཡོད་ཀྱི་རེད་ད་རཱ། ཡིན་ན་ཡང་ངས་མཐོང་ཚུལ་ལ་ད་འཇའ་པན་ལབ་ཡ་ས་ཆ་དེ།
